"transaction_id","project_id","transaction_isodate","transaction_year","transaction_value_code","transaction_currency","transaction_value"
"kJJdg2Tk5HKa9v9atcgn27","COL1","","2012","C","USD","1434153.58881"
"S7WBPzUSZyhGumoJPd8d4d","COL2","","2012","C","USD","195877.821449"
"YbbWWrzAhACydB5hhtZ6YU","COL3","","2012","C","USD","98268.8102135"
"MzXorsdWwtAurekUkq8sKf","COL4","","2012","C","USD","110073.517217"
"hdBA2vyKfvoRjpApJQVRpj","COL5","","2010","C","USD","3038419.81253"
"Q4jLt9dFi88APjhozx7dYG","COL6","","2012","C","USD","25775.3612466"
"cEmsojob5owNCvMyScHCeV","COL7","","2012","C","USD","114875.714835"
"LDB6oXuptGQBEXinXcvsC8","COL8","","2011","C","USD","49763.5"
"hXHTtcKsDs4cvJ6YVAjegM","COL9","","2012","C","USD","490921.858269"
"DgD47CoZqjgbuj8o5wttya","COL10","","2011","C","USD","65000.0"
"DTSvDixrdnXrmp59bMdLLA","COL11","","2010","C","USD","590832.22237"
"bV8sfCBHvH2hjUAe5bwttC","COL12","","2011","C","USD","272709.0"
"NGVvFKGnQrLdZN8wQUtUW7","COL13","","2011","C","USD","8320.0"
"8KGSS6bV3AJHQksb5GgWXB","COL14","","2012","C","USD","89162.2097426"
"Bv3VYvCoKcykixwJpzQKiJ","COL15","","1994","C","USD","8594522.45473"
"ydKpZZKGBQeiYAodcoQEDm","COL16","","2010","C","USD","27971391.5055"
"vQwC8KnC7mS5sL5S8zzd7F","COL17","","2012","C","USD","246344.588479"
"rNDKc9YhuDiEkPwXzXFqD9","COL18","","2011","C","USD","792536.33"
"xzmV9CMEhAdJree6JmoLMo","COL19","","2011","C","USD","6591667.0"
"USn9B5QCD2QLQbHJkusmdG","COL20","","2012","C","USD","1262332.9021"
"59NRGqRgq9epXgKRVpVBgJ","COL21","","2012","C","USD","736382.787404"
"U7Zagka34J2ocyczLb3GcJ","COL22","","2012","C","USD","69492.7185635"
"mCEiHM5yrCu73MbNyPFdhH","COL23","","2012","C","USD","2945531.14962"
"aRRAPbBE8WDgbWoJVZFZVB","COL24","","2010","C","USD","437008.517084"
"MRBLnwTtfH2SzfNRcSagTS","COL25","","2011","C","USD","371912.0"
"PirU4E7cXf3ownaPxgvUP4","COL26","","2012","C","USD","158399.864945"
"U9AxNpfwQGb2Q7nX8CksVA","COL27","","2011","C","USD","200892.0"
"c8SxsVh5DZv9RZ4kBxXCyf","COL28","","2011","C","USD","260000.0"
"UBcrp86kMoKwHiifjRyfcc","COL29","","2011","C","USD","260000.0"
"2SjqZZHXXa9rfVVKaZgPkT","COL30","","2012","C","USD","165931.588095"
"vKa2doB4CF449HaVpPDbT3","COL31","","2011","C","USD","455000.0"
"3FCdzxEwq8XwvGdygCJXAC","COL32","","2013","C","USD","241701.83876"
"DS2pGcH8T62qxL4QQJJrgR","COL33","","2011","C","USD","111830.0"
"BYPAvJ8MtYYm4AvLkJ3WKc","COL34","","2012","C","USD","110236.503274"
"Xc5CrT78NEzYhepkEiwQDN","COL35","","2005","C","USD","2801539.03358"
"YVzRmuwUSKh2hoYdm6rmA5","COL36","","2010","C","USD","1724005.52954"
"HxVLj6mHhEmRCZkyBUrQHX","COL37","","2011","C","USD","650000.0"
"Me9tKpDqXhPz9ruALFGzi6","COL38","","2011","C","USD","3000000.0"
"dBJwpbyaQgVMt5qNR5M4kc","COL39","","2010","C","USD","2162690.02878"
"YkxErRt5AcYsfMyGxgfVNA","COL40","","2012","C","USD","901023.251012"
"VroQkHQnxpYGTPUBwBz5hH","COL41","","2011","C","USD","161857.14"
"7F3XTYHimwc4SkJF5QhfwL","COL42","","2011","C","USD","1112755.0"
"YYiXejfpKgrnkFhjDidUPL","COL43","","2012","C","USD","2319893.46053"
"2MAnY2gnQYPbrxi8xXWHSA","COL44","","2011","C","USD","1666666.67"
"m5B6kdRmniraZFNHb7BEZo","COL45","","2011","C","USD","260000.0"
"gYL4yE4gJsLForqMx9PhKA","COL46","","2012","C","USD","205499.889871"
"9nzaXhVdsXK7aFiKgRFYik","COL47","","2011","C","USD","109044.0"
"XoADsXRXznsKdUhfV3LadL","COL48","","2011","C","USD","797860.67"
"zqowCgXxJYdQKN4tbaciVZ","COL49","","2011","C","USD","688160.0"
"vVE8Ry3vjChQZTUicvKnoj","COL50","","2012","C","USD","10977012.7509"
"djum4CkqWbCuHrqQfJ3NjF","COL51","","2010","C","USD","459615.381807"
"cPX4cYWC3vCc6BkseqRGph","COL52","","2011","C","USD","325000.0"
"2NJdQVeHpC392vcM82RSJM","COL53","","2013","C","USD","221770.733287"
"krYVcJnRV5gJBpEVmuVZXj","COL54","","2011","C","USD","4025440.0"
"HwhFrrPvd2SVZACPEJVoAK","COL55","","2011","C","USD","1433333.33"
"MG5YE4xkD9zwMoaT3uw7Dj","COL56","","2011","C","USD","186000.0"
"Cn4d7aHd3kYtm2nqnMNQVa","COL57","","2012","C","USD","2470220.60644"
"cu4LqJwwYxGXRdL85fgYo3","COL58","","2010","C","USD","377735.329776"
"RjUgzjWeHHaDu73ufNatHi","COL59","","2012","C","USD","25527.93663"
"tsjaDy9To7mW9vdoohmCW8","COL60","","2010","C","USD","132375.831757"
"ydHsZrq84Ggqi3J7n5Uxak","COL61","","2012","C","USD","65989.7161885"
"vyU5Q6Ch5UJeaEVbU5gvFk","COL62","","2012","C","USD","25282.4757009"
"NvdtZnquxmRCnfaRfhXN26","COL63","","2010","C","USD","967978.2519"
"XEpszQzmpyiBHENQDdWtLZ","COL64","","2010","C","USD","1072383.46325"
"kQXZ4oGTBeSywwxUEGJQg6","COL65","","2011","C","USD","8600000.0"
"5q7G6hwbckFRKFvhKVkzsb","COL66","","2013","C","USD","7746853.80642"
"zgbFUyFcmwbzJuYAWtQ4dc","COL67","","2011","C","USD","7800000.0"
"Y2srevRk9HqxyBXPQkB3nn","COL68","","2013","C","USD","11010861.5435"
"wBEgkjsfoVyFWeNoi8QRy6","COL69","","2011","C","USD","11245.0"
"7gENLUwF9YLVP9FyDGsdNA","COL70","","2012","C","USD","158273.207106"
"KFmHbXsh5VbK9FtWJs6WVH","COL71","","2011","C","USD","67305.5"
"FTkTzMKTe6LnkXuzU9oYjQ","COL72","","2012","C","USD","284312.877736"
"qh39P9n6LE5y2beXoZ4QHW","COL73","","2011","C","USD","17914050.0"
"8hzt2Z9Ke7YXMy9Jp8v72n","COL74","","2011","C","USD","19158996.83"
"WdayA4EfXJG8qArKC9rqjE","COL75","","2010","C","USD","30493223.7774"
"6BvgLgjQuumMnVdJts8q3Q","COL76","","2006","C","USD","6475854.17474"
"KvhEbWmemVEE645tEDriBZ","COL77","","2012","C","USD","6136523.22837"
"xufoan5zK6ZLd6a7DZvAGA","COL78","","2009","C","USD","896969.436974"
"c9BF87dFuzxKZKMwiGVCG5","COL79","","2011","C","USD","390000.0"
"CPivTD4zFhW5VLmSNEJ735","COL80","","2011","C","USD","118807.0"
"Hn8k9MBf6FazTinNHoKsJP","COL81","","2013","C","USD","128964.4576"
"2oGZq2uioFXmK9RtSgisbj","COL82","","2010","C","USD","269819.706909"
"8dx7CMkcMhMHVQ2r2Y2mfJ","COL83","","2009","C","USD","5954591.95739"
"F6Jx6QTWjDxoGJs5MBYdvb","COL84","","2010","C","USD","8952093.74037"
"r4nZ9Hufw8JTA9Uph5MX6n","COL85","","2011","C","USD","774894.0"
"BomKMA4HsSLwf8gDRLR9z8","COL86","","2011","C","USD","1157784.0"
"VBGjASmWovusujmaH8LVc3","COL87","","2011","C","USD","296283.0"
"GnGnKZz7BNrLKnhR4DugM8","COL88","","2012","C","USD","974010.763737"
"FR7jJKhBf4d2RK85QAQa8J","COL89","","2012","C","USD","1301924.76813"
"ien8hDqtgk2dni2sZpx4Y5","COL90","","2009","C","USD","34981807.9074"
"4tMYFa5ULbJda527GQM9Tj","COL91","","2011","C","USD","1977222.0"
"zLLrRAnFeojDARydPwv3oU","COL92","","2010","C","USD","76822.7426836"
"NHRCmamz8aMoim45xQHheG","COL93","","2011","C","USD","7904000.0"
"hsqMKjKeXq7Zcvnr3JqDH5","COL94","","2010","C","USD","11152788.0178"
"3nYtgouVwn8x4QvuNhGx5e","COL95","","2012","C","USD","429065.704127"
"2CaKJFMSpHqCNGoG6HZ9hh","COL96","","2013","C","USD","779627.87337"
"RU3ZUsjs4SJt9j9PA9SFAQ","COL97","","2011","C","USD","8355886.25"
"VcRnRBScfqxAPRKgGb63fE","COL98","","2012","C","USD","110118.682028"
"KLkBy4Wgrp4WaEAuVxq3DD","COL99","","2013","C","USD","160625.33265"
"ctteNJEvt9sAWCBoAkzxrR","COL100","","2010","C","USD","3879223.59887"
"mQZubV9xvVMzFEjFs388UD","COL101","","2012","C","USD","487649.049154"
"TuaDoxBd7tmQ2AdpzKGFcg","COL102","","2010","C","USD","439856.971826"
"VzVTcVpSuFi8iS3ZWDaEci","COL103","","2010","C","USD","439856.971826"
"SW7k4kpBrut6w8EuEJdb","COL104","","2012","C","USD","638198.41575"
"S5ScKnWokRL9fFUEGDJWD6","COL105","","2012","C","USD","8635973.32225"
"3hJpPVfdNiiWYeyxXLtA8A","COL106","","2010","C","USD","6358216.70474"
"8ZYQrQjGd9m3XWLzv3hsYL","COL107","","2012","C","USD","37964.9509874"
"PAUCigGswf4ZV6KsSQfPB","COL108","","2011","C","USD","506044.0"
"HjzXipQsvBopoxnJ8ydNMQ","COL109","","2011","C","USD","7036536.0"
"DwMaNSYmH8pPbC6zEait9D","COL110","","2011","C","USD","3185053.0"
"xxxr4zG6ZTEUBPA6MpSkZe","COL111","","2011","C","USD","1957037.0"
"SNar6sTMUnbdtQWDN92DsX","COL112","","2012","C","USD","63819.841575"
"HtkcVMVCYDd2pf34uRoJec","COL113","","2012","C","USD","17619710.7797"
"oDbjpfaTQ6YsqHHyeDuXtK","COL114","","2011","C","USD","4093333.33"
"ezEHXZ4kufZFYxHR2Tay3R","COL115","","2013","C","USD","3268056.75936"
"DqvZyc8dCAiDNE9y7PzeNT","COL116","","2011","C","USD","399940.67"
"ZNTTMHpwTwiW9bnC7efvjS","COL117","","2010","C","USD","1021317.58404"
"sL8QTosf9jj6RNbKqPAB99","COL118","","2012","C","USD","127639.68315"
"eR2Ar39CFBUxdj5wSSWRTn","COL119","","2011","C","USD","130000.0"
"7GztTBCEzXkQPh7qWGJ9hN","COL120","","2011","C","USD","65000.0"
"x7fjaKvSNKZbQsEVKXQwWD","COL121","","2012","C","USD","255279.3663"
"UrgY2qqRHvLmhSJGwSK4kH","COL122","","2012","C","USD","110281.668085"
"KN8eC9e3QySJ8XREK9PRr9","COL123","","2012","C","USD","191459.524725"
"XQfsWMzm9xV83kVNaAag8F","COL124","","2012","C","USD","135075.185615"
"Q9YFqE2YnSRKKAD4jFxAnB","COL125","","2012","C","USD","21711.5101038"
"DQm2ahvShehvmNsYqWHToF","COL126","","2012","C","USD","191459.524725"
"GCQApyTYZPFXCv6TMTqDBX","COL127","","2012","C","USD","93815.1671152"
"HU4dGwVQV6CwsQsdGhH7vS","COL128","","2012","C","USD","191459.524725"
"DHntt7anZ48a5834bTnSNf","COL129","","2012","C","USD","152683.570828"
"g9SMNeLFpLhhnq3L6Xt5rg","COL130","","2012","C","USD","82965.7940475"
"R8nH634ZX6wPmW2gUAxEse","COL131","","2012","C","USD","63819.841575"
"4Cxj8HrFLhBMoRbnCAhXfb","COL132","","2012","C","USD","286343.261812"
"7AeTymqgdEo5PtqtyaURC5","COL133","","2012","C","USD","75724.696638"
"xTo9KqMon4y8RL4eB6ikZ8","COL134","","2012","C","USD","33053.9356307"
"LXEbNtiyqdJKWDPATwJ5n9","COL135","","2011","C","USD","501244.0"
"x4vXZA5Wrk9Y5XSQBkkgGG","COL136","","2011","C","USD","209729.0"
"oB73zYNE85NKBhyojdPjCR","COL137","","2011","C","USD","84500.0"
"3mirhuGt8rtYq76k5NNxD3","COL138","","2012","C","USD","382919.04945"
"JPm73cuTunfk3B7yFVTRBX","COL139","","2012","C","USD","382919.04945"
"UzJdAqqqbMV29FK3qP3SkK","COL140","","2010","C","USD","332596.156514"
"4qPCiPCxoNnchYyTiNXrU7","COL141","","2012","C","USD","111745.597067"
"5cR4Tuo6Vzjy6qLxkizmCR","COL142","","2012","C","USD","191459.524725"
"JoxEcoXB5Fpp9mk6k8yqma","COL143","","2009","C","USD","484231.018617"
"rBjE6SGbzr4rEghuXKYunc","COL144","","2012","C","USD","99211.3801813"
"HderxbGyB6Sq6riQMyynVY","COL145","","2011","C","USD","104967.0"
"xEhEimPXmPAGfEKdfzXXq5","COL146","","2012","C","USD","110277.74071"
"ajpvnk8KYiYd9mEHYKdMGX","COL147","","2012","C","USD","87477.365925"
"BnNQkBxCxkxvAatKyf8zS5","COL148","","2012","C","USD","87784.6830083"
"Yex8U43n7Bqrcu6PRAmTtC","COL149","","2010","C","USD","2655425.71852"
"67PLFv3mYrcZBMMxKcvLv3","COL150","","2007","C","USD","6551055.32804"
"ZJTwWRP6pK9mLaABgms39U","COL151","","2012","C","USD","100247.225302"
"vPxhDQQbD3zSypGdZYysBW","COL152","","2004","C","USD","16897879.2385"
"tBAnKLkkHESuQVhXCSxAY8","COL153","","2012","C","USD","88050.7626555"
"HjxWxGfYYhrFV6RA9ATLbC","COL154","","2010","C","USD","145797.170393"
"sWgkt8GCGCZKfiRhT7JAfg","COL155","","2011","C","USD","177481.0"
"tunkHYHrTd3bwcHFCuSsM","COL156","","2011","C","USD","650000.0"
"zL5zxogumdiydP4Xbrgg2n","COL157","","2012","C","USD","638198.41575"
"hM6W2xsPsNjcr2GfSXQvpU","COL158","","2011","C","USD","258648.0"
"jTemgj5ZLHB6GzYVx6ipnM","COL159","","2012","C","USD","82318.7590383"
"3EpZwERL2LJWDEDRuiwRN","COL160","","2012","C","USD","127452.151"
"wQYPJDZqa3KqytnQ3XVEVP","COL161","","2012","C","USD","51055.87326"
"yqzehpUqCrUeCmR7WRRAPm","COL162","","2012","C","USD","157631.081315"
"pzQADbB8xzFxCjquB5h6jA","COL163","","2012","C","USD","102111.74652"
"GcmEJx8grm7LegnUomEui4","COL164","","2013","C","USD","132795.535036"
"mvnk5aUnnP36F56WEabGx","COL165","","2012","C","USD","344627.144505"
"M2Sq5b3Au5DrEGDTrdHUiW","COL166","","2011","C","USD","845000.0"
"EvF7SjwtSV6pKBBmJE698H","COL167","","2013","C","USD","234987.898795"
"5f5XWxoAsNfWN7oXkrjKQ9","COL168","","2011","C","USD","79963.17"
"TzbrSZgQxdWfVJYDM4nZwi","COL169","","2009","C","USD","1599490.9526"
"aXyYdtW6r65J8t6eS3QEsL","COL170","","2010","C","USD","10213175.8404"
"UxxV6rtan3JNsK2w3jAzDP","COL171","","2010","C","USD","749116.021545"
"viec2LAsf9t3KBss8g2fwT","COL172","","2008","C","USD","20432890.1756"
"gjH7fkjboLug8uGwgG9uVd","COL173","","2012","C","USD","556378.109311"
"zjsXBMQLvDxVHeBjb5CkQe","COL174","","2011","C","USD","195000.0"
"zmYNLDxuaXYPLmggFtLZr","COL175","","2012","C","USD","191459.524725"
"MVUcQifSBXV6UqKgpfjeVJ","COL176","","2012","C","USD","44673.8891025"
"wNpYZRE9VecXASwKnZiQhT","COL177","","2012","C","USD","102111.74652"
"ZSnbJpuiVYdzbVBBRdtDPn","COL178","","2012","C","USD","100965.934903"
"AcNWDJjwD5vMsiNx9CbXah","COL179","","2012","C","USD","108420.092399"
"xtEYFRSYmtqkZmwxa8cEKa","COL180","","2011","C","USD","1719292.4"
"NSvWmCACDBdENXjnZbWMDF","COL181","","2012","C","USD","492649.90321"
"4grXWXvr539z4nzjg9Mn4M","COL182","","2013","C","USD","134278.799311"
"ubhYaAS2ajHNxRt3nyFKG5","COL183","","2013","C","USD","134144.520512"
"2rNYSa6nkQPneaHmBybd7N","COL184","","2012","C","USD","4418296.72442"
"C3SHCDX3ux9DLqZteNmiCC","COL185","","2012","C","USD","241995.020815"
"43tHibrTgASXxL6zBZ8cUa","COL186","","2012","C","USD","425051.269179"
"4xwyvdeUrkomSQTP3HqTm","COL187","","2009","C","USD","181636.310289"
"ndNgv8qwEFkkBYVEF4n6zd","COL188","","2012","C","USD","55026.9401715"
"DdFX5ijFAp2vxohvVBhUR4","COL189","","2010","C","USD","172439.26089"
"B7YivLuHVzAAftsr9WfyDB","COL190","","2011","C","USD","277342.5"
"FvcBBJLtduSQCfE5EB4s2B","COL191","","2013","C","USD","516456.920428"
"G3MLgAysez3baj92DTpLRZ","COL192","","2009","C","USD","46573.4128945"
"dZ94CenyHTagR53H26r9qF","COL193","","2009","C","USD","7762114.39155"
"uuU5ATgHsWEvh7ousWoMmc","COL194","","2010","C","USD","316593.13129"
"d9uKjpYGT7k5bJeP7L62RZ","COL195","","2011","C","USD","650000.0"
"T5z8Hyi5G5GvzioGeaMmFR","COL196","","2010","C","USD","1259999.50344"
"hieZRaPoAzhHStZncKgagc","COL197","","2007","C","USD","955714.502771"
"f8xMeNuFVK5ErP6prxpGMe","COL198","","2011","C","USD","3979318.57"
"jr9uixB75m7TZR7bKSAVXW","COL199","","2009","C","USD","12005590.8795"
"FmJrzoRaw847GcVQvCT6sY","COL200","","2012","C","USD","245460.929135"
"MC94ACmGVz2ZrhbDX6LXSk","COL201","","2012","C","USD","362496.700146"
"AWLeWahNJqJhxCx5ZnRQD3","COL202","","2010","C","USD","1618150.04722"
"TWdj4vfxs2HUYXFqStb4em","COL203","","2012","C","USD","825889.624291"
"BoaPZZk5qiHicbJJtqnko","COL204","","2010","C","USD","1180473.58844"
"3Kreu9gcmxt9SG8MaH7ghe","COL205","","2011","C","USD","233793.0"
"vH8HyJ9KueMQZzBYZhen78","COL206","","2011","C","USD","5105640.0"
"EbzMiiEmg7HqMQXx3TDn63","COL207","","2011","C","USD","2730000.0"
"iqmtoXczCKXH8sNMgQKo6c","COL208","","2011","C","USD","55699.83"
"5LLSFeDPtL7M5bfsDNx4JE","COL209","","2011","C","USD","910000.0"
"7SJzkBksw3YxKFkt7Ni3eP","COL210","","2012","C","USD","319099.207875"
"j9svE69YqUZRPp8E3SfUT9","COL211","","2010","C","USD","242971.453244"
"woAwz7zzwG2CydaRvL77s5","COL212","","2012","C","USD","319099.207875"
"WBrfaz9RVSTRmmx4Er3NCG","COL213","","2010","C","USD","5529668.72941"
